Language,1926,2010,rank
Avar,124211,189888,1
Andi (Upper),6484,11075,4
Karata,4763,8873,6
Tindi,4128,4252,9
Chamalal,3651,5132,7
Bagvalal,3052,4057,3
Akhvakh (Northern),2216,5977,8
Botlikh,1694,12501,2
Godoberi,1197,3114,5
