language;glottocode;lemma;pos;reference;meaning_ru;morph_deleted;target_ipa_morph;derived;target_ipa;russian_ipa;metathesis;problems;total_segments;match_count
Botlikh;botl1242;ка?мира;noun;Saidova, Abusov 2012;камера;;;;k-'a-m-i-r-a;k-'a-m?-E-r-A;;;6;5
Botlikh;botl1242;кампа?ни;noun;Alekseev, Azayev 2019;кампания;;;;k-a-m-p-'a-n-i-0-0;k-O-m-p-'a-n?-I-j-A;;;9;6
Botlikh;botl1242;кана?дцав;noun;Alekseev, Azayev 2019;канадец;-aw, CL;k-a-n-'a-d-ts-a-w;;k-a-n-'a-d-0-ts;k-A-n-'a-d-E-ts;;;7;6
Botlikh;botl1242;кана?дцай;noun;Alekseev, Azayev 2019;канадец;-aj, CL;k-a-n-'a-d-ts-a-j;1;k-a-n-'a-d-0-ts;k-A-n-'a-d-E-ts;;;7;6
Botlikh;botl1242;кана?дцалуб;adj;Alekseev, Azayev 2019;канадец;-alub, ADJZ;k-a-n-'a-d-ts-a-l-u-b;1;k-a-n-'a-d-0-ts;k-A-n-'a-d-E-ts;;;7;6
Botlikh;botl1242;кана?дцал;noun;Alekseev, Azayev 2019;канадец;-al, PL;k-a-n-'a-d-ts-a-l;1;k-a-n-'a-d-0-ts;k-A-n-'a-d-E-ts;;;7;6
Avar;avar1256;кана?л;noun;Gimbatov 2006;канал;;;;k-a-n-'a-l;k-A-n-'a-l;;;5;5
Botlikh;botl1242;кана?л;noun;Saidova, Abusov 2012;канал;;;;k-a-n-'a-l;k-A-n-'a-l;;;5;5
Tindi;tind1238;КАН?ВУ;noun;Magomedova 2003;канал;;;;k-a-n-'a-w-u;k-A-n-'a-l-0;;;6;4
Botlikh;botl1242;канализа?ци;noun;Alekseev, Azayev 2019;канализация;;;;k-a-n-a-l-i-z-'a-ts-i-0-0;k-A-n-A-l?-I-z-'a-ts-I-j-A;;;12;10
Avar;avar1256;кандида?т;noun;Gimbatov 2006;кандидат;;;;k-a-n-d-i-d-'a-t;k-A-n-d?-I-d-'a-t;;;8;8
Bagvalal;bagv1239;КА?ДИД?Т;noun;Magomedova 2004;кандидат;;;;k-a?-0-d-i-d-'a-t;k-A-n-d?-I-d-'a-t;;;8;2
Botlikh;botl1242;кандида?т;noun;Alekseev, Azayev 2019;кандидат;;;;k-a-n-d-i-d-'a-t;k-A-n-d?-I-d-'a-t;;;8;8
Godoberi;ghod1238;КЯНДИД?Т/И;noun;Saidova 2006;кандидат;;;;k?-a-n-d-i-d-'a-t-i;k-A-n-d?-I-d-'a-t-0;;;9;8
Avar;avar1256;кан?кул;noun;Gimbatov 2006;каникулы;;;;k-a-n-'i-k-u-l-0;k-A-n?-'i-k-U-l-I;;;8;7
Bagvalal;bagv1239;КАНИК?УЛ;noun;Magomedova 2004;каникулы;;;;k-a-n-i-k-'u-l-0;k-A-n?-'i-k-U-l-I;;;8;7
Botlikh;botl1242;кани?кулде;noun;Alekseev, Azayev 2019;каникулы;-de, PL;k-a-n-'i-k-u-l-d-e;;k-a-n-'i-k-u-l-0;k-A-n?-'i-k-U-l-I;;;8;7
Godoberi;ghod1238;КЯНИ?КУЛ;noun;Saidova 2006;каникулы;;;;k?-a-n-'i-k-u-l-0;k-A-n?-'i-k-U-l-I;;;8;7
Botlikh;botl1242;кани?куллъи;noun;Alekseev, Azayev 2019;каникулы;-?i, ATTR;k-a-n-'i-k-u-l-?-i;1;k-a-n-'i-k-u-l-0;k-A-n?-'i-k-U-l-I;;;8;7
Botlikh;botl1242;карни?стир;noun;Alekseev, Azayev 2019;канистра;;;;k-a-r-n-'i-s-t-i-r-0;k-A-0-n?-'i-s-t-0-r-A;;;10;7
Akhvakh;akhv1239;каса'ра;noun;Magomedova, Abdulayeva 2007;канцелярия;;;;k-a-0-s-0-0-'a-r-0-0-a;k-A-n-ts-E-l?-'a-r?-I-j-A;;;11;5
Avar;avar1256;канс?лар;noun;Gimbatov 2006;канцелярия;;;;k-a-n-s-i-l-'a-r-0-0-0;k-A-n-ts-E-l?-'a-r?-I-j-A;;;11;6
Avar;avar1256;канцеля?р;noun;Gimbatov 2006;канцелярия;;;;k-a-n-ts-e-l-'a-r-0-0-0;k-A-n-ts-E-l?-'a-r?-I-j-A;;;11;8
Botlikh;botl1242;канцилIр;noun;Alekseev, Azayev 2019;канцелярия;;;;k-a-n-ts-i-t?-0-r-0-0-0;k-A-n-ts-E-l?-'a-r?-I-j-A;;;11;4
Botlikh;botl1242;кансила?р;noun;Saidova, Abusov 2012;канцелярия;;;;k-a-n-s-i-l-'a-r-0-0-0;k-A-n-ts-E-l?-'a-r?-I-j-A;;;11;6
Godoberi;ghod1238;КЯНСИ?ЛАР;noun;Saidova 2006;канцелярия;;;;k?-a-n-s-'i-l-a-r-0-0-0;k-A-n-ts-E-l?-'a-r?-I-j-A;;;11;6
Karata-Tukita;kara1474;КА?СИЛА'Р;noun;Magomedova, Khalidova 2001;канцелярия;;;;k-a?-0-s-i-l-'a-r-0-0-0;k-A-n-ts-E-l?-'a-r?-I-j-A;;;11;2
Avar;avar1256;капита?л;noun;Gimbatov 2006;капитал;;;;k-a-p-i-t-'a-l;k-A-p?-I-t-'a-l;;;7;7
Botlikh;botl1242;капита?л;noun;Alekseev, Azayev 2019;капитал;;;;k-a-p-i-t-'a-l;k-A-p?-I-t-'a-l;;;7;7
Avar;avar1256;капитал?зм;noun;Gimbatov 2006;капитализм;;;;k-a-p-i-t-a-l-'i-z-m;k-A-p?-I-t-A-l?-'i-z-m;;;10;10
Botlikh;botl1242;капитали?зм;noun;Alekseev, Azayev 2019;капитализм;;;;k-a-p-i-t-a-l-'i-z-m;k-A-p?-I-t-A-l?-'i-z-m;;;10;10
Avar;avar1256;капитал?ст;noun;Gimbatov 2006;капиталист;;;;k-a-p-i-t-a-l-'i-s-t;k-A-p?-I-t-A-l?-'i-s-t;;;10;10
Botlikh;botl1242;капитали?ст;noun;Alekseev, Azayev 2019;капиталист;;;;k-a-p-i-t-a-l-'i-s-t;k-A-p?-I-t-A-l?-'i-s-t;;;10;10
Avar;avar1256;капита?н;noun;Gimbatov 2006;капитан;;;;k-a-p-i-t-'a-n;k-A-p?-I-t-'a-n;;;7;7
Avar;avar1256;къабтІа?н;noun;Gimbatov 2006;капитан;;;;q'-a-b-0-t'-'a-n;k-A-p?-I-t-'a-n;;;7;3
Bagvalal;bagv1239;КАПИТ?Н;noun;Magomedova 2004;капитан;;;;k-a-p-i-t-'a-n;k-A-p?-I-t-'a-n;;;7;7
Botlikh;botl1242;капи?тан;noun;Alekseev, Azayev 2019;капитан;;;;k-a-p-'i-t-a-n;k-A-p?-I-t-'a-n;;;7;7
Botlikh;botl1242;капита?н;noun;Saidova, Abusov 2012;капитан;;;;k-a-p-i-t-'a-n;k-A-p?-I-t-'a-n;;;7;7
Akhvakh;akhv1239;кIа'пIили;noun;Magomedova, Abdulayeva 2007;капли;;;;k'-'a-p'-i-l-i;k-'a-p-0-l?-I;;;6;3
Akhvakh;akhv1239;кIа'пIли;noun;Magomedova, Abdulayeva 2007;капли;;;;k'-'a-p'-l-i;k-'a-p-l?-I;;;5;3
Avar;avar1256;ка?пли;noun;Gimbatov 2006;капли;;;;k'-'a-p-l-i;k-'a-p-l?-I;;;5;4
Bagvalal;bagv1239;КI?БЛИ;noun;Magomedova 2004;капли;;;;k'-'a-b-l-i;k-'a-p-l?-I;;;5;3
Godoberi;ghod1238;КIЯ?ПИЛИ;noun;Saidova 2006;капля;;;;k?'-'a-p-i-l-i;k-'a-p-0-l?-A;;;6;4
Karata-Tukita;kara1474;К|А'П|ЛИ;noun;Magomedova, Khalidova 2001;капля;;;;k'-'a-p'-l-i;k-'a-p-l?-A;;;5;2
Botlikh;botl1242;капро?н;noun;Alekseev, Azayev 2019;капрон;;;;k-a-p-r-'o-n;k-A-p-r-'o-n;;;6;6
Botlikh;botl1242;капронде?;noun;Alekseev, Azayev 2019;капрон;-de, PL;k-a-p-r-o-n-d-'e;1;k-a-p-r-o-n;k-A-p-r-'o-n;;;6;6
Botlikh;botl1242;ка?псул;noun;Alekseev, Azayev 2019;капсюль;;;;k-'a-p-s-u-l;k-'a-p-s?-U-l?;;;6;6
Andi;andi1255;капустан;noun;Salimov 2010;капуста;;;;k-a-p-u-s-t-a-n;k-A-p-'u-s-t-A-0;;;8;7
Avar;avar1256;кап?ста;noun;Gimbatov 2006;капуста;;;;k-a-p-'u-s-t-a;k-A-p-'u-s-t-A;;;7;7
Avar;avar1256;хъап?стІа;noun;Gimbatov 2006;капуста;;;;q-a-p-'u-s-t'-a;k-A-p-'u-s-t-A;;;7;5
Bagvalal;bagv1239;КАП?УСТА;noun;Magomedova 2004;капуста;;;;k-a-p-'u-s-t-a;k-A-p-'u-s-t-A;;;7;7
Botlikh;botl1242;капу?ста;noun;Alekseev, Azayev 2019;капуста;;;;k-a-p-'u-s-t-a;k-A-p-'u-s-t-A;;;7;7
Godoberi;ghod1238;КЯПУ?СТА;noun;Saidova 2006;капуста;;;;k?-a-p-'u-s-t-a;k-A-p-'u-s-t-A;;;7;7
Botlikh;botl1242;капу?т;noun;Alekseev, Azayev 2019;капут;;;;k-a-p-'u-t;k-A-p-'u-t;;;5;5
Botlikh;botl1242;капишо?н;noun;Alekseev, Azayev 2019;капюшон;;;;k-a-p-i-?-'o-n;k-A-p?-U-?-'o-n;;;7;6
Avar;avar1256;карант?н;noun;Gimbatov 2006;карантин;;;;k-a-r-a-n-t-'i-n;k-A-r-A-n-t?-'i-n;;;8;8
Botlikh;botl1242;каранти?н;noun;Alekseev, Azayev 2019;карантин;;;;k-a-r-a-n-t-'i-n;k-A-r-A-n-t?-'i-n;;;8;8
Akhvakh;akhv1239;хъаро?';noun;Magomedova, Abdulayeva 2007;караул;;;;q?-a-r-'o?-0-0;k-A-r-A-'u-l;;;6;2
Akhvakh;akhv1239;хъаро?'лъе;noun;Magomedova, Abdulayeva 2007;караул;;;;q?-a-r-0-'o?-?-e;k-A-r-A-'u-l-0;;;7;2
Andi;andi1255;хъарагъул;noun;Salimov 2010;караул;;;;q-a-r-a-?-u-l;k-A-r-A-0-'u-l;;;7;5
Bagvalal;bagv1239;ХЪАР?В;noun;Magomedova 2004;караул;;;;q-a-r-'a-w-0-0;k-A-r-A-0-'u-l;;;7;3
Bagvalal;bagv1239;ХЪАР?ВУЛ;noun;Magomedova 2004;караул;;;;q-a-r-'a-w-u-l;k-A-r-A-0-'u-l;;;7;5
Bagvalal;bagv1239;ХЪАР??ОЛ;noun;Magomedova 2004;караул;;;;q-a-r-'o?-0-l;k-A-r-A-'u-l;;;6;3
Botlikh;botl1242;хъара?вуллъи;noun;Alekseev, Azayev 2019;караул;;;;q-a-r-'a-w-u-l;k-A-r-A-0-'u-l;;;7;5
Botlikh;botl1242;хъала?вур;noun;Saidova, Abusov 2012;караул;;;;q-a-l-'a-w-u-r;k-A-r-A-0-'u-l;;;7;3
Botlikh;botl1242;хъала?вур//хъара?вул;noun;Saidova, Abusov 2012;караул;;;;q-a-l-'a-w-u-r;k-A-r-A-0-'u-l;;;7;3
Botlikh;botl1242;хъара?вул;noun;Saidova, Abusov 2012;караул;;;;q-a-r-'a-w-u-l;k-A-r-A-0-'u-l;;;7;5
Chamalal;cham1309;ХЪАРО?Л;noun;Magomedova 1999;караул;;;;q-a-r-0-o?-l;k-A-r-A-'u-l;;;6;3
Godoberi;ghod1238;ХЪАР?ВУЛЛЪИ;;Saidova 2006;караул;-?i, NM.DER;q-a-r-'a-w-u-l-?-i;1;q-a-r-'a-w-u-l;k-A-r-A-0-'u-l;;;7;5
Godoberi;ghod1238;ХЪАР?ВУЛ;noun;Saidova 2006;караул;;;;q-a-r-'a-w-u-l;k-A-r-A-0-'u-l;;;7;5
Karata-Tukita;kara1474;ХЪАРА'ВУЛЛЪЕР;;Magomedova, Khalidova 2001;караул;-?'er, NM.DER;q-a-r-'a-w-u-l-?-e-r;;q-a-r-'a-w-u-l;k-A-r-A-0-'u-l;;;7;5
Karata-Tukita;kara1474;ХЪАРАВУ'Л;noun;Magomedova, Khalidova 2001;караул;;;;q-a-r-a-w-'u-l;k-A-r-A-0-'u-l;;;7;5
Tindi;tind1238;ХЪАР?ВУЛЪАР;;Magomedova 2003;караул;-?ar, NM.DER;q-a-r-'a-w-u-?-a-r;1;q-a-r-'a-w-u-0;k-A-r-A-0-'u-l;;;7;4
Tindi;tind1238;ХЪАР?ВУ;noun;Magomedova 2003;караул;;;;q-a-r-'a-w-u-0;k-A-r-A-0-'u-l;;;7;4
Tindi;tind1238;ХЪАР?ВУЛ;noun;Magomedova 2003;караул;;;;q-a-r-'a-w-u-l;k-A-r-A-0-'u-l;;;7;5
Avar;avar1256;карикат?ра;noun;Gimbatov 2006;карикатура;;;;k-a-r-i-k-a-t-'u-r-a;k-A-r?-I-k-A-t-'u-r-A;;;10;10
Botlikh;botl1242;карикату?ра;noun;Alekseev, Azayev 2019;карикатура;;;;k-a-r-i-k-a-t-'u-r-a;k-A-r?-I-k-A-t-'u-r-A;;;10;10
Botlikh;botl1242;карни?з;noun;Alekseev, Azayev 2019;карниз;;;;k-a-r-n-'i-z;k-A-r-n?-'i-Z;;;6;6
Akhvakh;akhv1239;кагъа';noun;Magomedova, Abdulayeva 2007;карта;;;;k-a-?-0-'a;k-'a-r-t-A;;;5;3
Avar;avar1256;ка?рта;noun;Gimbatov 2006;карта;;;;k-'a-r-t-a;k-'a-r-t-A;;;5;5
Bagvalal;bagv1239;К?РТА;noun;Magomedova 2004;карта;;;;k-'a-r-t-a;k-'a-r-t-A;;;5;5
Botlikh;botl1242;ка?рта;noun;Alekseev, Azayev 2019;карта;;;;k-'a-r-t-a;k-'a-r-t-A;;;5;5
Botlikh;botl1242;ка?рт/а;noun;Saidova, Abusov 2012;карта;;;;k-'a-r-t-a;k-'a-r-t-A;;;5;5
Godoberi;ghod1238;КЯ?РТА;noun;Saidova 2006;карта;;;;k?-'a-r-t-a;k-'a-r-t-A;;;5;5
Tindi;tind1238;КАГЪ?ТИ;noun;Magomedova 2003;карта;;;;k-a-?-'a-t-i;k-'a-r-0-t-A;;;6;3
Andi;andi1255;кагъардаша;noun;Salimov 2010;карты;-da?a, NM.DER;k-a-?-a-r-d-a-?-a;1;k-a-?-a-r-0-0;k-'a-0-0-r-t-A;;;7;3
Avar;avar1256;карт?н;noun;Gimbatov 2006;картон;;;;k-a-r-t-'o-n;k-A-r-t-'o-n;;;6;6
Bagvalal;bagv1239;КАРД?УН?;noun;Magomedova 2004;картон;;;;k-a-r-d-'u-n;k-A-r-t-'o-n;;;6;4
Botlikh;botl1242;кардо?н;noun;Alekseev, Azayev 2019;картон;;;;k-a-r-d-'o-n;k-A-r-t-'o-n;;;6;5
Godoberi;ghod1238;КЯРТУ?Н;noun;Saidova 2006;картон;;;;k?-a-r-t-'u-n;k-A-r-t-'o-n;;;6;5
Avar;avar1256;карт?шка;noun;Gimbatov 2006;картофель;;;;k-a-r-t-'o-?-k-a;k-A-r-t-'o-?-k-A;;;8;8
Avar;avar1256;кІатІ?ли;noun;Gimbatov 2006;картофель;;;;k'-a-0-t'-'u-0-l-i;k-A-r-t-'o-?-k-A;;;8;1
Avar;avar1256;къва?л/и;noun;Gimbatov 2006;картофель;;;;k'-a-0-t'-'u-0-l-i;k-A-r-t-'o-?-k-A;;;8;1
Avar;avar1256;кІартІ?п;noun;Gimbatov 2006;картофель;;;;k'-a-r-t'-'u-p-0-0;k-A-r-t-'o-?-k-A;;;8;2
Akhvakh;akhv1239;катушка;noun;Magomedova, Abdulayeva 2007;картошка;;;;k-a-0-t-u-?-k-a;k-A-r-t-'o-?-k-A;;;8;6
Akhvakh;akhv1239;катущи;noun;Magomedova, Abdulayeva 2007;картошка;;;;k-a-0-t-u-??-i-0-0;k-A-r-t-'o-?-0-k-A;;;9;4
Andi;andi1255;картуши;noun;Salimov 2010;картошка;;;;k-a-r-t-u-?-i-0-0;k-A-r-t-'o-?-0-k-A;;;9;5
Botlikh;botl1242;кату?шка;noun;Alekseev, Azayev 2019;картошка;;;;k-a-0-t-'u-?-k-a;k-A-r-t-'o-?-k-A;;;8;6
Botlikh;botl1242;карту?шка;noun;Alekseev, Azayev 2019;картошка;;;;k-a-r-t-'u-?-k-a;k-A-r-t-'o-?-k-A;;;8;7
Godoberi;ghod1238;КЯТУ?ШКЯ;noun;Saidova 2006;картошка;;;;k?-a-0-t-'u-?-k?-a;k-A-r-t-'o-?-k-A;;;8;6
Tindi;tind1238;КАТУ?ШКА;noun;Magomedova 2003;картошка;;;;k-a-0-t-'u-?-k-a;k-A-r-t-'o-?-k-A;;;8;6
Andi;andi1255;кагъардул;noun;Salimov 2010;карты;-dul, PL;k-a-?-a-r-d-u-l;;k-a-?-a-r-0-0;k-'a-0-0-r-t-A;;;7;3
Bagvalal;bagv1239;КАГЪ?Р;noun;Magomedova 2004;карты;;;;k-a-?-'a-r-0-0;k-'a-0-0-r-t-A;;;7;3
Avar;avar1256;карц;noun;Gimbatov 2006;карцер;;;;k-'a-r-ts-0-0;k-'a-r-ts-E-r;;;6;4
Botlikh;botl1242;ка?рцер;noun;Alekseev, Azayev 2019;карцер;;;;k-'a-r-ts-e-r;k-'a-r-ts-E-r;;;6;6
Botlikh;botl1242;ка?ска;noun;Alekseev, Azayev 2019;каска;;;;k-'a-s-k-a;k-'a-s-k-A;;;5;5
Avar;avar1256;ка?сса;noun;Gimbatov 2006;касса;;;;k-'a-s?-a;k-'a-s-A;;;4;4
Bagvalal;bagv1239;К??СА;noun;Magomedova 2004;касса;;;;k-'a-s?-a;k-'a-s-A;;;4;4
Botlikh;botl1242;ка?сса;noun;Alekseev, Azayev 2019;касса;;;;k-'a-s?-a;k-'a-s-A;;;4;4
Botlikh;botl1242;ка?сс/а;noun;Saidova, Abusov 2012;касса;;;;k-'a-s?-a;k-'a-s-A;;;4;4
Godoberi;ghod1238;КЯ?ССА;noun;Saidova 2006;касса;;;;k?-'a-s?-a;k-'a-s-A;;;4;4
Botlikh;botl1242;касе?та;noun;Alekseev, Azayev 2019;кассета;;;;k-a-s-'e-t-a;k-A-s?-'e-t-A;;;6;6
Botlikh;botl1242;касси?р;noun;Alekseev, Azayev 2019;кассир;;;;k-a-s?-'i-r;k-A-s?-'i-r;;;5;5
Godoberi;ghod1238;КЯССИ?Р;noun;Saidova 2006;кассир;;;;k?-a-s?-'i-r;k-A-s?-'i-r;;;5;5
Botlikh;botl1242;кату?ша;noun;Alekseev, Azayev 2019;катюша;;;;k-a-t-'u-?-a;k-A-t?-'u-?-A;;;6;6
Avar;avar1256;кауч?к;noun;Gimbatov 2006;каучук;;;;k-a-0-u-t?-'u-k;k-A-0-U-t?-'u-k;;;7;7
Botlikh;botl1242;кавучу?к;noun;Alekseev, Azayev 2019;каучук;;;;k-a-w-u-t?-'u-k;k-A-0-U-t?-'u-k;;;7;6
Botlikh;botl1242;ка?пидра;noun;Alekseev, Azayev 2019;кафедра;;;;k-'a-p-i-d-r-a;k-'a-f?-E-d-r-A;;;7;5
Andi;andi1255;кощи;noun;Salimov 2010;каша;;;;k-o-??-i;k-'a-?-A;;;4;2
Avar;avar1256;карщ;noun;Gimbatov 2006;каша;;;;k-'a-r-??-0;k-'a-0-?-A;;;5;3
Godoberi;ghod1238;КЯЩИ?Р;noun;Saidova 2006;каша;;;;k?-a-??-'i-r;k-'a-?-A-0;;;5;3
Karata-Tukita;kara1474;КАРЩИ';noun;Magomedova, Khalidova 2001;каша;;;;k-a-r-??-'i;k-'a-0-?-A;;;5;3
Tindi;tind1238;К’?ЩА;noun;Magomedova 2003;каша;;;;k?-'a-??-a;k-'a-?-A;;;4;4
Avar;avar1256;ква?ртал;noun;Gimbatov 2006;квартал;;;;k-w-'a-r-t-a-l;k-v-A-r-t-'a-l;;;7;6
Botlikh;botl1242;ква?ртал;noun;Saidova, Abusov 2012;квартал;;;;k-w-'a-r-t-a-l;k-v-A-r-t-'a-l;;;7;6
Avar;avar1256;кварт?ра;noun;Gimbatov 2006;квартира;;;;k-w-a-r-t-'i-r-a;k-v-A-r-t?-'i-r-A;;;8;7
Botlikh;botl1242;каварти?ра;noun;Alekseev, Azayev 2019;квартира;;;;k-a-w-a-r-t-'i-r-a;k-0-v-A-r-t?-'i-r-A;;;9;7
Botlikh;botl1242;кварти?ра;noun;Saidova, Abusov 2012;квартира;;;;k-w-a-r-t-'i-r-a;k-v-A-r-t?-'i-r-A;;;8;7
Botlikh;botl1242;квати?ралъи гъване?кIва;noun;Alekseev, Azayev 2019;квартира;"-?i, ATTR; ??an'ek'?a, host";k?-a-t-'i-r-a-?-i ??-a-n-'e-k'?-a;;k?-0-a-0-t-'i-r-a;k-v-A-r-t-'i-r-A;;;8;6
Avar;avar1256;квас;noun;Gimbatov 2006;квас;;;;k-w-a-s;k-v-'a-s;;;4;3
Botlikh;botl1242;квас;noun;Alekseev, Azayev 2019;квас;;;;k-w-a-s;k-v-'a-s;;;4;3
Andi;andi1255;квитанциъи;noun;Salimov 2010;квитанция;;;;k-w-i-t-a-n-ts-i-?-i;k-v?-I-t-'a-n-ts-I-j-A;;;10;7
Avar;avar1256;квита?нция;noun;Gimbatov 2006;квитанция;;;;k-w-i-t-'a-n-ts-i-j-a;k-v?-I-t-'a-n-ts-I-j-A;;;10;9
Botlikh;botl1242;кивита?нци;noun;Alekseev, Azayev 2019;квитанция;;;;k-i-w-i-t-'a-n-ts-i-0-0;k-0-v?-O-t-'a-n-ts-I-j-A;;;11;6
Botlikh;botl1242;ке?те;noun;Alekseev, Azayev 2019;кеды;;;;k-'e-t-e;k?-'e-d-I;;;4;2
Botlikh;botl1242;кепка;noun;Alekseev, Azayev 2019;кепка;;;;k-e-p-k-a;k?-'e-p-k-A;;;5;5
Botlikh;botl1242;кирага?з;noun;Alekseev, Azayev 2019;керогаз;;;;k-i-r-a-?-'a-z;k?-I-r-O-g-'a-Z;;;7;5
Botlikh;botl1242;кираси?нка;noun;Alekseev, Azayev 2019;керосинка;;;;k-i-r-a-s-'i-n-k-a;k?-E-r-O-s?-'i-n-k-A;;;9;7
Akhvakh;akhv1239;кило';noun;Magomedova, Abdulayeva 2007;кило;;;;k-i-l-'o;k?-I-l-'o;;;4;4
Botlikh;botl1242;кило?;noun;Alekseev, Azayev 2019;кило;;;;k-i-l-'o;k?-I-l-'o;;;4;4
Botlikh;botl1242;кил/о?;noun;Saidova, Abusov 2012;кило;;;;k-i-l-'o;k?-I-l-'o;;;4;4
Godoberi;ghod1238;КИЛ/?;noun;Saidova 2006;кило;;;;k?-i-l-'o;k?-I-l-'o;;;4;4
Karata-Tukita;kara1474;КИ'ЛО;noun;Magomedova, Khalidova 2001;кило;;;;k-'i-l-o;k?-I-l-'o;;;4;4
Tindi;tind1238;КИ?ЛА;noun;Magomedova 2003;кило;;;;k-i-l-a;k?-I-l-'o;;;4;3
Avar;avar1256;к?л/о;noun;Gimbatov 2006;килограмм;;;;k-'i-l-'o;k?-I-l-'o;;;4;4
Andi;andi1255;киламетра;noun;Salimov 2010;километр;;;;k-i-l-a-m-e-t-r-a;k?-I-l-O-m?-'e-t-r-0;;;9;7
Avar;avar1256;кил?метр;noun;Gimbatov 2006;километр;;;;k-i-l-'o-m-'e-t-r;k?-I-l-O-m?-'e-t-r;;;8;8
Botlikh;botl1242;кило?метра;noun;Alekseev, Azayev 2019;километр;;;;k-i-l-'o-m-e-t-r-a;k?-I-l-O-m?-'e-t-r-0;;;9;8
Botlikh;botl1242;киламе?тра;noun;Saidova, Abusov 2012;километр;;;;k-i-l-a-m-'e-t-r-a;k?-I-l-O-m?-'e-t-r-0;;;9;7
Godoberi;ghod1238;КИЛАМ?ТРА;noun;Saidova 2006;километр;;;;k?-i-l-a-m-'e-t-r-a;k?-I-l-O-m?-'e-t-r-0;;;9;7
Botlikh;botl1242;ки?лка;noun;Alekseev, Azayev 2019;килька;;;;k-'i-l-k-a;k?-'i-l?-k-A;;;5;5
Botlikh;botl1242;кимано?;noun;Alekseev, Azayev 2019;кимоно;;;;k-i-m-a-n-'o;k?-I-m-O-n-'o;;;6;5
Avar;avar1256;кин/?;noun;Gimbatov 2006;кино;;;;k-i-n-'o;k?-I-n-'o;;;4;4
Botlikh;botl1242;кино?;noun;Alekseev, Azayev 2019;кино;;;;k-i-n-'o;k?-I-n-'o;;;4;4
Godoberi;ghod1238;КИН/?;noun;Saidova 2006;кино;;;;k?-i-n-'o;k?-I-n-'o;;;4;4
Botlikh;botl1242;киноактёр;noun;Alekseev, Azayev 2019;киноактёр;;;;k-i-n-o-a-k-t?-o-r;k?-?i-n-O-A-k-t?-'o-r;;;9;1
Botlikh;botl1242;киноапара?т;noun;Alekseev, Azayev 2019;киноаппарат;;;;k-i-n-o-a-p-a-r-'a-t;k?-?i-n-O-A-p-A-r-'a-t;;;10;1
Avar;avar1256;ки?ск;noun;Gimbatov 2006;киоск;;;;k-i-'o-s-k;k?-I-'o-s-k;;;5;5
Botlikh;botl1242;кио?ск;noun;Alekseev, Azayev 2019;киоск;;;;k-i-'o-s-k;k?-I-'o-s-k;;;5;5
Akhvakh;akhv1239;кепе'чи;noun;Magomedova, Abdulayeva 2007;кирпич;;;;k-e-0-p-'e-t?-i;k?-I-r-p?-'i-t?-0;;;7;3
Akhvakh;akhv1239;кипи'чи;noun;Magomedova, Abdulayeva 2007;кирпич;;;;k-i-0-p-'i-t?-i;k?-I-r-p?-'i-t?-0;;;7;5
Andi;andi1255;кирпичи;noun;Salimov 2010;кирпич;;;;k-i-r-p-i-t?-i;k?-I-r-p?-'i-t?-0;;;7;6
Avar;avar1256;кирп?ч;noun;Gimbatov 2006;кирпич;;;;k-i-r-p-'i-t?;k?-I-r-p?-'i-t?;;;6;6
Bagvalal;bagv1239;КИРП?ИЧ;noun;Magomedova 2004;кирпич;;;;k-i-r-p-'i-t?;k?-I-r-p?-'i-t?;;;6;6
Botlikh;botl1242;кирпи?ч;noun;Alekseev, Azayev 2019;кирпич;;;;k-i-r-p-'i-t?;k?-I-r-p?-'i-t?;;;6;6
Godoberi;ghod1238;КИРПИ?Ч/И;noun;Saidova 2006;кирпич;;;;k?-i-r-p-'i-t?-i;k?-I-r-p?-'i-t?-0;;;7;6
Karata-Tukita;kara1474;КЕ'РБЕЧ;noun;Magomedova, Khalidova 2001;кирпич;;;;k-'e-r-b-e-t?;k?-I-r-p?-'i-t?;;;6;3
Karata-Tukita;kara1474;КИРПИ'Ч;noun;Magomedova, Khalidova 2001;кирпич;;;;k-i-r-p-'i-t?;k?-I-r-p?-'i-t?;;;6;6
Botlikh;botl1242;кисе?т;noun;Saidova, Abusov 2012;кисет;;;;k-i-s-'e-t;k?-I-s?-'e-t;;;5;5
Avar;avar1256;кислор?д;noun;Gimbatov 2006;кислород;;;;k-i-s-l-o-r-'o-d;k?-I-s-l-O-r-'o-D;;;8;8
Botlikh;botl1242;кисларо?д;noun;Alekseev, Azayev 2019;кислород;;;;k-i-s-l-a-r-'o-d;k?-I-s-l-O-r-'o-D;;;8;7
Avar;avar1256;кислота?;noun;Gimbatov 2006;кислота;;;;k-i-s-l-o-t-'a;k?-I-s-l-O-t-'a;;;7;7
Botlikh;botl1242;кислата?;noun;Alekseev, Azayev 2019;кислота;;;;k-i-s-l-a-t-'a;k?-I-s-l-O-t-'a;;;7;6
Akhvakh;akhv1239;кита'йец?и;noun;Magomedova, Abdulayeva 2007;китаец;-i, CL;k-i-t-'a-j-e-ts?-i;;k-i-t-'a-j-e-ts?;k?-I-t-'a-j-E-ts;;;7;7
Bagvalal;bagv1239;КИТ?ЙАДУВ;noun;Magomedova 2004;Китай;-aduw, CL;k-i-t-'a-j-a-d-u-w;;k-i-t-'a-j;k?-I-t-'a-j;;;5;5
